	texter	textee	date
0	Scheibner Christoph	Grahl Liah	6.2.2017
1	Hempel Lucie	Teichmann Hertha	3.2.2017
2	Sternberg Moritz	Michael Jill	3.2.2017
3	Prevorsek Marlene	Scheibner Christoph	12.2.2017
4	Quandt Katarina	Michael Jill	3.2.2017
5	Theobald Gabriele	Dohmen Colin	10.2.2017
6	Walz Grit	Krah Horst	21.2.2017
7	Kretzer Julian	Maass Timon	6.2.2017
8	Sch_ttler Gustav	Hempel Lucie	7.2.2017
9	Welling Isabelle	Teichmann Hertha	21.2.2017
10	Bachert Anthony	Hermanns Christin	3.2.2017
11	Bunzel Jona	Kern Martina	29.2.2017
12	Bachert Anthony	Eder Eva	26.2.2017
13	Blau Leah	Maass Timon	14.2.2017
14	Egerer Leni	Rudolf Isabella	6.2.2017
15	Kern Martina	Niermann Riko	5.2.2017
16	Bott Gregor	Greco Nik	13.2.2017
17	Felske Wiebke	Greco Nik	26.2.2017
18	Strauss Achmet	Teichmann Hertha	26.2.2017
19	Bunzel Jona	Stegemann Fabio	9.2.2017
20	Edel Margrit	Kern Martina	18.2.2017
21	Strauss Achmet	Dohmen Colin	1.2.2017
22	Bott Gregor	Bachert Anthony	13.2.2017
23	Greco Nik	Schroeder Elly	22.2.2017
24	Goerke Ella	Walz Grit	21.2.2017
25	Sternberg Moritz	Egerer Leni	22.2.2017
26	Scheunemann Dario	Hempel Lucie	13.2.2017
27	Wernicke Maik	Freese Kai	8.2.2017
28	Greco Nik	Quandt Katarina	18.2.2017
29	Rolle Joseph	Behm Ida	26.2.2017
30	Quandt Katarina	Theobald Gabriele	4.2.2017
31	Quandt Katarina	Freese Kai	1.2.2017
32	Dohmen Colin	Prevorsek Marlene	8.2.2017
33	Rudolf Isabella	Theobald Gabriele	13.2.2017
34	Edel Margrit	Lausch B_rbel	18.2.2017
35	Schroeder Elly	Edel Margrit	21.2.2017
36	Walz Grit	Krah Horst	2.2.2017
37	Edel Margrit	Bunzel Jona	27.2.2017
38	Lass Rudolf	Theobald Gabriele	17.2.2017
39	Grahl Liah	Hermanns Christin	7.2.2017
40	Niessen S_ren	Kuhne Emmely	1.2.2017
41	Bause Julia	Walz Grit	18.2.2017
42	Freese Kai	Lass Rudolf	21.2.2017
43	Scheibner Christoph	Blau Leah	5.2.2017
44	Freese Kai	Kuhne Emmely	28.2.2017
45	Rudolf Isabella	Schunk B_rbel	3.2.2017
46	Scheunemann Dario	Freese Kai	6.2.2017
